тип_объекта,название,описание,цена,валюта,страна,город,адрес,локация,площадь,жилая_площадь,комнаты,ванные,спален,этажей_здания,участок_м2,бассейн,сад,гараж,балкон,парковка,электричество,интернет,охрана,мебель,ремонт,состояние,отопление,водоснабжение,канализация,дополнительные_удобства,фото,статус_модерации,тип_продажи,аукцион,начало_аукциона,конец_аукциона,стартовая_цена_аукциона,минимальная_цена_продажи,долевая_собственность,всего_долей,есть_долг,отмечен_долг,долг_ипотека,долг_налоги,долг_коммунальные,долг_арест,сумма_долга,критичность_долга,прочее_по_долгам,координаты,тест_драйв,тест_драйв_цена_день,тест_драйв_залог,год_постройки,тип_здания
villa,«Аурига» — вилла с панорамой над Ароде,"Современная вилла в мягких нейтральных тонах, панорамные окна и терраса на закат. Тихий комплекс, комфортная планировка для семьи или сезонного проживания. Рядом инфраструктура Costa Adeje.",,EUR,Испания,Тенерифе,Calle Aurora 14,"Calle Aurora 14, Costa Adeje, Тенерифе",268,215,6,4,5,2,520,1,1,1,1,1,1,1,0,1,дизайнерский,отличное,тепловой насос,центральное,канализация,"солярий у бассейна; кладовая; система «умный дом»","https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200&q=80",approved,auction,1,2026-06-01T10:00:00.000Z,2026-07-20T20:00:00.000Z,210000,,0,,0,0,0,0,0,0,0,,,"28.0997,-16.7320",1,185,1200,2019,монолит
house,Дом «Тамайто» — свет и сад у океана,"Двухэтажный дом с натуральным камнем и деревом, большой сад с пальмами и зоной барбекю. Высокие потолки, кухня-гостиная с выходом на террасу. Тихая улица, 5 минут до набережной.",,EUR,Испания,Тенерифе,Calle Tamaimo 8,"Calle Tamaimo 8, Los Cristianos, Тенерифе",198,165,5,3,4,2,380,1,1,1,1,1,1,1,0,1,евроремонт,хорошее,кондиционеры,городское,канализация,"прачечная; тенистая терраса; вид на город","https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=1200&q=80; https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80; https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80",approved,auction,1,2026-06-05T10:00:00.000Z,2026-07-25T20:00:00.000Z,245000,,0,,0,0,0,0,0,0,0,,,"28.0510,-16.7167",1,165,950,2014,смешанная
villa,Вилла «Усурия» — минимализм и бассейн инфинити,"Строгий минимализм, инфинити-бассейн с видом на океан, вечерная подсветка сада. Спальни на разных уровнях для приватности гостей. Дорожки из травертина, техническое помещение под генератор.",,EUR,Испания,Тенерифе,Urbanización Usuriar 3,"Usuriar 3, Guía de Isora, Тенерифе",310,255,7,5,6,2,610,1,1,1,1,1,1,1,1,1,премиальный,новое,тепловой насос,скважина + фильтр,септик,"домашний кинозал; кладовая для вина; солнечные панели","https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80; https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80; https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=1200&q=80",approved,auction,1,2026-06-10T10:00:00.000Z,2026-08-02T20:00:00.000Z,275000,,0,,0,0,0,0,0,0,0,,,"28.2106,-16.7794",1,210,1800,2021,монолит
house,Финка «Каньяда» — уют среди апельсиновых деревьев,"Испанская финка с оригинальными балками и печью, участок с фруктовыми деревьями. Идеально для удалённой работы: оптоволокно, спокойное соседство. Небольшой хозблок для инструментов.",,EUR,Испания,Тенерифе,Camiño da Cañada 22,"Camiño da Cañada 22, La Orotava, Тенерифе",175,148,5,3,4,2,720,0,1,1,1,1,1,1,0,1,деревенский шик,хорошее,конвекторы,городское,канализация,"теплица патио; качели на террасе; место под мастерскую","https://images.unsplash.com/photo-1605146769289-440113cc3768?w=1200&q=80; https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=1200&q=80",approved,auction,1,2026-06-15T12:00:00.000Z,2026-08-08T21:00:00.000Z,198500,,0,,0,0,0,0,0,0,0,,,"28.3888,-16.5234",0,,,2008,блок + камень
villa,Вилла «Аквамарина» Golf del Sur,"Рядом с полями гольфа, двойная высота гостиной, кухня Gaggenau, гостевая студия отдельным входом. Бесшумные сплит-системы, шторы с электроприводом. Гараж на два автомобиля.",,EUR,Испания,Тенерифе,Avenida Aquamarina 7,"Aquamarina 7, Golf del Sur, Тенерифе",285,238,6,4,5,2,455,1,1,1,1,1,1,1,1,1,полный финиш,отличное,тепловой насос,городское,канализация,"гости с санузлом; внешний душ у бассейна; система водоподготовки","https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80; https://images.unsplash.com/photo-1600566753084-00f18fb6b3ea?w=1200&q=80; https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=1200&q=80",approved,auction,1,2026-06-18T09:00:00.000Z,2026-08-12T20:00:00.000Z,288000,,0,,0,0,0,0,0,0,0,,,"28.0156,-16.6420",0,,,2017,монолит
house,Дом с ипотечным долгом — La Laguna historic,"Каменный дом с реставрацией фасада, высокие двери и внутренний двор с фонтаном. Долг перед банком и задолженность по IBI; цена с учётом обременения. Для инвестора с юристом.",228000,EUR,Испания,Тенерифе,Calle San Agustín 41,"Calle San Agustín 41, La Laguna, Тенерифе",162,135,4,2,3,2,240,0,1,0,1,0,1,1,0,0,классическая реставрация,хорошее,радиаторы,городское,канализация,"внутренний двор; кабинет с витражом",https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=1200&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200&q=80; https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80,approved,debt,0,,,,,0,,1,1,1,1,1,0,68200,yellow,"Ипотека и налог на недвижимость, коммунальные за 18 мес.; юридический due diligence обязателен.","28.4853,-16.3200",0,,,1897,природный камень + тимбер
villa,Вилла с обременением по коммуналке и налогам,"Светлая вилла с большими окнами и открытым планом. Продаётся с долговой нагрузкой: коммуналка сообщества бассейна и задолженность по сбору refuse. После регистрации — чистый титул.",295000,EUR,Испания,Тенерифе,Urbanización Solana 18,"Solana 18, El Médano, Тенерифе",248,205,6,4,5,2,495,1,1,1,1,1,1,1,0,1,современный,хорошее,тепловой насос,городское,канализация,"кладовые у бассейна; летняя кухня","https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80; https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf?w=1200&q=80",approved,debt,0,,,,,0,,1,1,0,1,1,1,42100,green,"Частичный арект на сумму указана в оферте; коммунитет требует погашения перед передачей ключей.",28.0447;-16.5369,,,,2019,монолит
house,Объект с долгами наследования,"Дом переходил по наследству; имеются счета управляющего и споры по взносам HOA. Просторный участок под расширение. Вид на склоны Тейде со второго этажа.",315000,EUR,Испания,Тенерифе,Lomo La Centinela 5,"Centinela 5, Güímar, Тенерифе",208,172,5,3,4,2,940,1,1,1,1,1,1,1,0,1,косметика + обновление кухни,удовлетворительное,кондиционеры,городское,септик,"склад навесной; возможность второго подъезда","https://images.unsplash.com/photo-1570129477492-45c003edd68f?w=1200&q=80; https://images.unsplash.com/photo-1605146769289-440113cc3768?w=1200&q=80",approved,debt,0,,,,,0,,1,1,0,1,0,1,55300,yellow,"Наследственные платежи и задолженность HOA; нужна помощь локального нотариуса.","28.3114,-16.3945",0,,,1998,блок с штукатуркой
villa,Вилла с залогом и обязательствами перед третьими лицами,"Проект с пристройкой спа-блока, не принятой финально в сообществом: висящие платежи подрядчику. Основное жильё в порядке, бассейн сертифицирован. Прозрачный реестр задолженностей для покупателя.",412000,EUR,Испания,Тенерифе,Ronda Norte 112,"Ronda Norte 112, Adeje, Тенерифе",332,278,8,6,7,3,585,1,1,2,1,1,1,1,1,1,современная,очень хорошее,тепловые полы где основные зоны,городское,канализация,"спортзал дома; сауна; комната персонала","https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80; https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80",approved,debt,0,,,,,0,,1,1,1,1,0,1,127400,red,"Подрядные обязательства и коммунальный штраф; переговоры с управлением возможны перед клоузингом.",28.1042;-16.7117,,,,2020,монолит
house,Жилой дом с смешанной долговой историей,"Двускатная кровля после ремонта, новая сантехника, но остался долг по ипотеке и несколько тысяч за коммунальные. Район с развитой школой и автобусом до столицы.",265000,EUR,Испания,Тенерифе,Calle Taganana 9,"Taganana 9, Tacoronte, Тенерифе",156,129,4,3,3,2,310,0,1,1,1,1,1,1,0,0,современизация без дизайн-проекта,хорошее,радиаторы + кондиционер,городское,канализация,"мини-теплица; вид на горы","https://images.unsplash.com/photo-1605276373964-11f067e124a9?w=1200&q=80; https://images.unsplash.com/photo-1605146769289-440113cc3768?w=1200&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80; https://images.unsplash.com/photo-1575517111478-7b6fadae9913?w=1200&q=80",approved,debt,0,,,,,0,,1,1,1,0,1,1,89400,yellow,"Ипотека остаётся на объекте до погашения из выручки сделки.","28.5134,-16.4167",0,,,1985,кладка камень-кирпич
